"","scenarioID","model","nIteration","pos","ratePos","mEs","nA","nB","nEff","sampleSize","samplePrior","p1","p2","p3","marginColiVBAT"
"59","scenario151","bayesglm",1460,1301,0.891095890410959,1.28900571869221e-06,597.478082191781,321.937671232877,919.415753424658,1160,300,0.4,"0.4",0.4,"0"
"60","scenario152","bayesglm",1460,1320,0.904109589041096,-0.00170065632245274,607.533561643836,327.815068493151,935.348630136986,1180,300,0.4,"0.4",0.4,"0"
"61","scenario153","bayesglm",1460,1327,0.908904109589041,-0.00166757901875026,617.209589041096,333.897945205479,951.107534246575,1200,300,0.4,"0.4",0.4,"0"
"62","scenario154","bayesglm",1460,679,0.465068493150685,-0.0235315024001848,103.177397260274,55.436301369863,158.613698630137,200,300,0.4,"0.38",0.4,"-0.02"
"63","scenario155","bayesglm",1460,655,0.448630136986301,-0.01789119076307,113.280136986301,60.8698630136986,174.15,220,300,0.4,"0.38",0.4,"-0.02"
"64","scenario156","bayesglm",1460,708,0.484931506849315,-0.0196276038748138,123.831506849315,66.4602739726027,190.291780821918,240,300,0.4,"0.38",0.4,"-0.02"
"65","scenario157","bayesglm",1460,693,0.474657534246575,-0.0143488683036376,134.398630136986,71.8308219178082,206.229452054795,260,300,0.4,"0.38",0.4,"-0.02"
"66","scenario158","bayesglm",1460,754,0.516438356164384,-0.0173830343642277,144.652054794521,77.4993150684931,222.151369863014,280,300,0.4,"0.38",0.4,"-0.02"
"67","scenario159","bayesglm",1460,804,0.550684931506849,-0.0205176436134985,154.534246575342,83.1691780821918,237.703424657534,300,300,0.4,"0.38",0.4,"-0.02"
"68","scenario16","bayesglm",1460,70,0.0479452054794521,0.0984509599738383,257.480136986301,138.564383561644,396.044520547945,500,300,0.4,"0.5",0.4,"0.1"
"69","scenario160","bayesglm",1460,818,0.56027397260274,-0.0174315201836905,164.942465753425,88.9917808219178,253.934246575342,320,300,0.4,"0.38",0.4,"-0.02"
"70","scenario161","bayesglm",1460,851,0.582876712328767,-0.0205269016604034,175.18904109589,94.6904109589041,269.879452054795,340,300,0.4,"0.38",0.4,"-0.02"
"71","scenario162","bayesglm",1460,890,0.60958904109589,-0.0189096342068464,185.584931506849,99.9041095890411,285.48904109589,360,300,0.4,"0.38",0.4,"-0.02"
"72","scenario163","bayesglm",1460,932,0.638356164383562,-0.0213956128869914,195.735616438356,105.33904109589,301.074657534247,380,300,0.4,"0.38",0.4,"-0.02"
"73","scenario164","bayesglm",1460,980,0.671232876712329,-0.0211424180402599,206.228082191781,110.525342465753,316.753424657534,400,300,0.4,"0.38",0.4,"-0.02"
"74","scenario165","bayesglm",1460,978,0.66986301369863,-0.0189116958058068,216.455479452055,116.446575342466,332.902054794521,420,300,0.4,"0.38",0.4,"-0.02"
"75","scenario166","bayesglm",1460,997,0.682876712328767,-0.018978488968413,226.982876712329,121.825342465753,348.808219178082,440,300,0.4,"0.38",0.4,"-0.02"
"76","scenario167","bayesglm",1460,1015,0.695205479452055,-0.0191580891828578,236.793835616438,127.604794520548,364.398630136986,460,300,0.4,"0.38",0.4,"-0.02"
"77","scenario168","bayesglm",1460,1053,0.721232876712329,-0.0194787251812145,247.065753424658,133.295890410959,380.361643835616,480,300,0.4,"0.38",0.4,"-0.02"
"78","scenario169","bayesglm",1460,1069,0.732191780821918,-0.0195142803359004,257.165753424658,139.047945205479,396.213698630137,500,300,0.4,"0.38",0.4,"-0.02"
"79","scenario17","bayesglm",1460,83,0.0568493150684932,0.0997958605399362,267.921917808219,143.999315068493,411.921232876712,520,300,0.4,"0.5",0.4,"0.1"
"80","scenario170","bayesglm",1460,1090,0.746575342465753,-0.0184565893856564,267.41301369863,145.024657534247,412.437671232877,520,300,0.4,"0.38",0.4,"-0.02"
"81","scenario171","bayesglm",1460,1103,0.755479452054794,-0.0189076290013445,278.454109589041,150.119178082192,428.573287671233,540,300,0.4,"0.38",0.4,"-0.02"
"82","scenario172","bayesglm",1460,1155,0.791095890410959,-0.0210256025579096,288.42397260274,155.193150684932,443.617123287671,560,300,0.4,"0.38",0.4,"-0.02"
"83","scenario173","bayesglm",1460,1141,0.781506849315069,-0.0194216312812999,298.682876712329,160.808219178082,459.491095890411,580,300,0.4,"0.38",0.4,"-0.02"
"84","scenario174","bayesglm",1460,1163,0.796575342465753,-0.0206737253391298,308.72397260274,166.599315068493,475.323287671233,600,300,0.4,"0.38",0.4,"-0.02"
"85","scenario175","bayesglm",1460,1186,0.812328767123288,-0.0207526090451348,319.435616438356,171.707534246575,491.143150684932,620,300,0.4,"0.38",0.4,"-0.02"
"86","scenario176","bayesglm",1460,1178,0.806849315068493,-0.0173259285383539,329.749315068493,177.703424657534,507.452739726027,640,300,0.4,"0.38",0.4,"-0.02"
"87","scenario177","bayesglm",1460,1202,0.823287671232877,-0.017907187909809,339.752739726027,183.070547945205,522.823287671233,660,300,0.4,"0.38",0.4,"-0.02"
"88","scenario178","bayesglm",1460,1239,0.848630136986301,-0.022000909551129,349.842465753425,188.801369863014,538.643835616438,680,300,0.4,"0.38",0.4,"-0.02"
"89","scenario179","bayesglm",1460,1249,0.855479452054794,-0.0196878926063884,360.45,194.710273972603,555.160273972603,700,300,0.4,"0.38",0.4,"-0.02"
"90","scenario18","bayesglm",1460,72,0.0493150684931507,0.101508324027301,278.467123287671,149.787671232877,428.254794520548,540,300,0.4,"0.5",0.4,"0.1"
"91","scenario180","bayesglm",1460,1244,0.852054794520548,-0.0196231498386361,371.41301369863,199.356849315069,570.769863013699,720,300,0.4,"0.38",0.4,"-0.02"
"92","scenario181","bayesglm",1460,1273,0.871917808219178,-0.020665168529865,380.734931506849,205.616438356164,586.351369863014,740,300,0.4,"0.38",0.4,"-0.02"
"93","scenario182","bayesglm",1460,1276,0.873972602739726,-0.0213013588628481,391.671917808219,210.596575342466,602.268493150685,760,300,0.4,"0.38",0.4,"-0.02"
"94","scenario183","bayesglm",1460,1287,0.881506849315069,-0.0211964862377776,401.391095890411,216.474657534247,617.865753424658,780,300,0.4,"0.38",0.4,"-0.02"
